st,sc,g,h,production
st3,sc11,ccgt,h01,0.0
st3,sc9,wind,h20,1393.0
st3,sc4,ocgt,h24,194.0
st3,sc8,solar,h22,0.0
st3,sc10,ccgt,h03,743.0
st3,sc11,wind,h19,900.0
st3,sc7,ocgt,h07,0.0
st3,sc11,ccgt,h15,0.0
st2,sc3,solar,h06,0.0
st2,sc3,ccgt,h20,0.0
st3,sc9,ccgt,h22,0.0
st3,sc10,wind,h18,400.0
st3,sc12,wind,h03,1018.0
st2,sc3,wind,h18,997.0
st3,sc10,wind,h19,400.0
st3,sc8,wind,h22,1075.0
st3,sc10,wind,h12,225.0
st3,sc6,solar,h16,209.3
st3,sc8,wind,h08,979.3000000000001
st3,sc6,ocgt,h06,0.0
st3,sc9,ocgt,h14,0.0
st3,sc12,solar,h19,0.0
st2,sc2,ccgt,h14,0.0
st2,sc1,ocgt,h10,0.0
st3,sc6,ocgt,h05,0.0
st3,sc12,ccgt,h24,0.0
st2,sc3,wind,h17,917.5
st3,sc8,ocgt,h20,0.0
st3,sc11,wind,h16,875.0
st3,sc6,ocgt,h14,0.0
st2,sc1,wind,h23,300.0
st3,sc4,wind,h05,250.0
st3,sc12,solar,h16,209.30000000000004
st3,sc11,solar,h10,327.5999999999999
st3,sc5,wind,h13,736.1
st2,sc2,wind,h22,1075.0
st3,sc5,solar,h12,518.6999999999999
st3,sc11,ocgt,h01,0.0
st3,sc6,ocgt,h11,0.0
st3,sc5,ccgt,h17,235.70000000000005
st3,sc10,ocgt,h11,0.0
st3,sc10,wind,h20,375.0
st3,sc8,ccgt,h20,443.0
st3,sc12,ccgt,h23,0.0
st2,sc2,solar,h24,0.0
st3,sc5,ocgt,h12,0.0
st2,sc1,solar,h05,0.0
st3,sc7,solar,h11,709.8000000000002
st3,sc9,ccgt,h24,0.0
st3,sc10,ocgt,h08,0.0
st3,sc10,wind,h11,225.0
st2,sc2,ccgt,h01,0.0
st3,sc11,wind,h07,964.9
st2,sc2,solar,h13,536.9000000000002
st3,sc5,ccgt,h08,0.0
st3,sc8,ccgt,h21,369.0
st3,sc7,ocgt,h21,199.99999999999997
st3,sc6,solar,h14,455.0
st3,sc4,ocgt,h20,199.99999999999997
st2,sc3,solar,h23,0.0
st2,sc2,solar,h18,27.300000000000004
st3,sc7,ccgt,h12,298.70000000000016
st2,sc1,wind,h18,400.0
st3,sc11,solar,h11,455.0
st3,sc8,solar,h13,536.9000000000002
st2,sc3,wind,h07,779.0
st3,sc5,ocgt,h03,0.0
st3,sc4,ocgt,h15,0.0
st3,sc10,wind,h07,250.0
st3,sc11,solar,h04,0.0
st3,sc11,solar,h06,0.0
st3,sc7,ccgt,h15,256.1999999999998
st3,sc9,ccgt,h11,0.0
st2,sc3,ocgt,h01,0.0
st3,sc5,wind,h19,900.0
st2,sc3,solar,h24,0.0
st2,sc1,ocgt,h17,0.0
st3,sc6,ccgt,h21,0.0
st3,sc4,ccgt,h18,691.3
st3,sc6,ccgt,h20,0.0
st3,sc12,ocgt,h08,0.0
st2,sc3,solar,h05,0.0
st3,sc10,ocgt,h09,0.0
st3,sc8,solar,h20,0.0
st2,sc3,ccgt,h03,0.0
st3,sc7,ccgt,h21,800.0
st3,sc4,solar,h01,0.0
st2,sc1,solar,h21,0.0
st3,sc10,solar,h20,0.0
st3,sc12,ccgt,h07,0.0
st3,sc8,wind,h19,900.0
st2,sc1,ocgt,h24,0.0
st3,sc7,wind,h24,300.0
st3,sc12,solar,h09,109.20000000000002
st2,sc2,solar,h12,518.6999999999996
st3,sc7,ccgt,h22,800.0
st3,sc6,ccgt,h18,0.0
st3,sc11,wind,h21,1025.0
st3,sc10,wind,h02,275.0
st2,sc1,wind,h04,275.0
st2,sc1,wind,h15,350.00000000000006
st3,sc6,ocgt,h22,0.0
st3,sc10,ocgt,h23,199.99999999999997
st2,sc1,ccgt,h23,753.0
st2,sc3,ccgt,h16,0.0
st3,sc9,wind,h11,880.8000000000001
st3,sc12,solar,h01,0.0
st3,sc8,ocgt,h06,0.0
st3,sc9,ocgt,h22,0.0
st3,sc12,ocgt,h03,0.0
st2,sc3,ocgt,h07,0.0
st3,sc11,wind,h08,979.3000000000001
st3,sc4,ocgt,h10,0.0
st2,sc2,wind,h15,579.5999999999999
st3,sc5,solar,h22,0.0
st2,sc3,ccgt,h24,0.0
st3,sc9,ocgt,h20,0.0
st3,sc6,ccgt,h23,0.0
st3,sc7,ocgt,h17,0.0
st3,sc8,ocgt,h07,0.0
st2,sc1,wind,h07,250.0
st3,sc5,wind,h22,1075.0
st2,sc3,ccgt,h13,0.0
st3,sc11,ocgt,h19,0.0
st3,sc4,solar,h12,755.3
st3,sc6,ccgt,h06,0.0
st3,sc8,ocgt,h02,0.0
st3,sc11,wind,h04,974.0
st3,sc8,wind,h03,1018.0
st3,sc6,wind,h01,1188.0
st3,sc8,ocgt,h12,0.0
st3,sc4,ocgt,h22,199.99999999999997
st2,sc3,ccgt,h10,0.0
st2,sc2,ccgt,h18,94.70000000000005
st3,sc5,solar,h17,118.3
st2,sc2,wind,h18,875.0
st3,sc5,ccgt,h10,0.0
st3,sc7,solar,h17,318.5
st2,sc3,ocgt,h23,0.0
st3,sc12,ccgt,h02,0.0
st2,sc3,ccgt,h07,0.0
st2,sc1,solar,h24,0.0
st3,sc5,ccgt,h11,0.0
st3,sc7,wind,h16,375.0
st3,sc10,ccgt,h16,348.6999999999996
st3,sc12,ocgt,h18,0.0
st3,sc4,wind,h04,275.0
st2,sc3,ocgt,h06,0.0
st3,sc6,wind,h13,790.6999999999999
st3,sc5,ocgt,h23,0.0
st3,sc6,solar,h02,0.0
st3,sc4,ocgt,h11,0.0
st3,sc11,solar,h05,0.0
st3,sc11,wind,h09,946.0
st2,sc3,solar,h15,364.0
st3,sc6,wind,h10,940.2
st2,sc2,solar,h14,491.39999999999964
st3,sc7,solar,h09,455.0
st3,sc9,ocgt,h23,0.0
st3,sc4,wind,h08,225.0
st3,sc12,ccgt,h05,0.0
st3,sc5,ocgt,h05,0.0
st2,sc1,solar,h03,0.0
st3,sc9,ocgt,h18,0.0
st3,sc10,ocgt,h20,199.99999999999997
st3,sc12,ccgt,h22,0.0
st3,sc5,ocgt,h04,0.0
st2,sc3,wind,h02,870.0
