st,sc,h,ens
st3,sc6,h11,0.0
st3,sc6,h12,0.0
st3,sc6,h13,0.0
st3,sc6,h14,0.0
st3,sc6,h15,0.0
st3,sc6,h16,0.0
st3,sc6,h17,0.0
st3,sc6,h18,0.0
st3,sc6,h19,0.0
st3,sc6,h20,0.0
st3,sc6,h21,0.0
st3,sc6,h22,0.0
st3,sc6,h23,0.0
st3,sc6,h24,0.0
st3,sc7,h01,0.0
st3,sc7,h02,0.0
st3,sc7,h03,0.0
st3,sc7,h04,0.0
st3,sc7,h05,0.0
st3,sc7,h06,0.0
st3,sc7,h07,0.0
st3,sc7,h08,0.0
st3,sc7,h09,0.0
st3,sc7,h10,0.0
st3,sc7,h11,0.0
st3,sc7,h12,0.0
st3,sc7,h13,0.0
st3,sc7,h14,0.0
st3,sc7,h15,0.0
st3,sc7,h16,0.0
st3,sc7,h17,0.0
st3,sc7,h18,0.0
st3,sc7,h19,0.0
st3,sc7,h20,18.00000000000003
st3,sc7,h21,44.00000000000003
st3,sc7,h22,59.00000000000003
st3,sc7,h23,16.000000000000018
st3,sc7,h24,0.0
st3,sc8,h01,0.0
st3,sc8,h02,0.0
st3,sc8,h03,0.0
st3,sc8,h04,0.0
st3,sc8,h05,0.0
st3,sc8,h06,0.0
st3,sc8,h07,0.0
st3,sc8,h08,0.0
st3,sc8,h09,0.0
st3,sc8,h10,0.0
st3,sc8,h11,0.0
st3,sc8,h12,0.0
st3,sc8,h13,0.0
st3,sc8,h14,0.0
st3,sc8,h15,0.0
st3,sc8,h16,0.0
st3,sc8,h17,0.0
st3,sc8,h18,0.0
st3,sc8,h19,0.0
st3,sc8,h20,0.0
st3,sc8,h21,0.0
st3,sc8,h22,0.0
st3,sc8,h23,0.0
st3,sc8,h24,0.0
st3,sc9,h01,0.0
st3,sc9,h02,0.0
st3,sc9,h03,0.0
st3,sc9,h04,0.0
st3,sc9,h05,0.0
st3,sc9,h06,0.0
st3,sc9,h07,0.0
st3,sc9,h08,0.0
st3,sc9,h09,0.0
st3,sc9,h10,0.0
st3,sc9,h11,0.0
st3,sc9,h12,0.0
st3,sc9,h13,0.0
st3,sc9,h14,0.0
st3,sc9,h15,0.0
st3,sc9,h16,0.0
st3,sc9,h17,0.0
st3,sc9,h18,0.0
st3,sc9,h19,0.0
st3,sc9,h20,0.0
st3,sc9,h21,0.0
st3,sc9,h22,0.0
st3,sc9,h23,0.0
st3,sc9,h24,0.0
st3,sc10,h01,0.0
st3,sc10,h02,0.0
st3,sc10,h03,0.0
st3,sc10,h04,0.0
st3,sc10,h05,0.0
st3,sc10,h06,0.0
st3,sc10,h07,0.0
st3,sc10,h08,0.0
st3,sc10,h09,0.0
st3,sc10,h10,0.0
st3,sc10,h11,0.0
st3,sc10,h12,0.0
st3,sc10,h13,0.0
st3,sc10,h14,0.0
st3,sc10,h15,0.0
st3,sc10,h16,0.0
st3,sc10,h17,0.0
st3,sc10,h18,0.0
st3,sc10,h19,0.0
st3,sc10,h20,18.00000000000003
st3,sc10,h21,44.00000000000003
st3,sc10,h22,59.00000000000003
st3,sc10,h23,16.000000000000018
st3,sc10,h24,0.0
st3,sc11,h01,0.0
st3,sc11,h02,0.0
st3,sc11,h03,0.0
st3,sc11,h04,0.0
st3,sc11,h05,0.0
st3,sc11,h06,0.0
st3,sc11,h07,0.0
st3,sc11,h08,0.0
st3,sc11,h09,0.0
st3,sc11,h10,0.0
st3,sc11,h11,0.0
st3,sc11,h12,0.0
st3,sc11,h13,0.0
st3,sc11,h14,0.0
st3,sc11,h15,0.0
st3,sc11,h16,0.0
st3,sc11,h17,0.0
st3,sc11,h18,0.0
st3,sc11,h19,0.0
st3,sc11,h20,0.0
st3,sc11,h21,0.0
st3,sc11,h22,0.0
st3,sc11,h23,0.0
st3,sc11,h24,0.0
st3,sc12,h01,0.0
st3,sc12,h02,0.0
st3,sc12,h03,0.0
st3,sc12,h04,0.0
st3,sc12,h05,0.0
st3,sc12,h06,0.0
st3,sc12,h07,0.0
st3,sc12,h08,0.0
st3,sc12,h09,0.0
st3,sc12,h10,0.0
st3,sc12,h11,0.0
st3,sc12,h12,0.0
st3,sc12,h13,0.0
st3,sc12,h14,0.0
st3,sc12,h15,0.0
st3,sc12,h16,0.0
st3,sc12,h17,0.0
st3,sc12,h18,0.0
st3,sc12,h19,0.0
st3,sc12,h20,0.0
st3,sc12,h21,0.0
st3,sc12,h22,0.0
st3,sc12,h23,0.0
st3,sc12,h24,0.0
